Cidade,# Revisões,# Revisões de Hotel,# Votos Úteis,Período,Tipo,Animadores,Academia,Quadra de Tenis,Spa,Piscina,Wifi Free,Nome do Hotel,# Estrelas,Qtde Quartos,# Anos como membro,Mês da Revisão,Dia da Revisão,Pontuação
Brasília,3,3,0,Jun-Ago,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,1,Agosto,Domingo,3
Cuiabá,146,17,33,Jun-Ago,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,2,Agosto,Sábado,4
Uberlândia,8,8,9,Set-Nov,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,4,Setembro,Quarta-feira,1
Goiânia,9,3,1,Set-Nov,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,2,Setembro,Sábado,4
Uberlândia,41,9,19,Set-Nov,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,2,Outubro,Terça-feira,3
Goiânia,8,7,26,Set-Nov,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,10,Outubro,Segunda-feira,2
Brasília,10,5,2,Set-Nov,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,7,Novembro,Sábado,4
Cuiabá,4,3,3,Set-Nov,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,3,Novembro,Segunda-feira,1
Brasília,18,7,19,Dez-Fev,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,0,Dezembro,Sábado,4
Goiânia,4,4,3,Dez-Fev,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,5,Dezembro,Domingo,2
Ribeirão Preto,29,11,15,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,3,Janeiro,Segunda-feira,4
Goiânia,114,42,52,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,11,Janeiro,Sábado,4
Uberlândia,30,12,17,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,8,Fevereiro,Sexta-Feira,5
Brasília,87,18,36,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,3,Fevereiro,Quinta-Feira,3
Goiânia,26,10,28,Mar-Mai,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,1,Março,Quarta-feira,5
Ribeirão Preto,8,7,9,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,8,Março,Quarta-feira,5
Uberlândia,11,8,13,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,7,Abril,Sexta-Feira,5
Uberaba,4,3,2,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,0,Abril,Sexta-Feira,3
Uberlândia,56,8,7,Mar-Mai,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,1,Maio,Terça-feira,3
Campo Grande,13,12,8,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,4,Maio,Quarta-feira,3
Uberaba,58,9,15,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,0,Junho,Sábado,4
Cristalina,20,7,4,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,6,Junho,Sábado,3
Goiânia,70,27,24,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,6,Julho,Sexta-Feira,4
Londrina,6,3,7,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,1,Julho,Quinta-Feira,4
Goiânia,290,263,299,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,10,Agosto,Segunda-feira,4
Goiânia,24,6,9,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,2,Agosto,Quarta-feira,2
Juiz de Fora,29,8,21,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,2,Setembro,Quarta-feira,3
Uberlândia,20,5,59,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,8,Setembro,Sábado,3
Palmas,3,3,3,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,4,Outubro,Sábado,3
Ribeirão Preto,47,6,27,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,5,Outubro,Segunda-feira,4
Goiânia,35,8,19,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,6,Novembro,Domingo,4
Brasília,6,0,4,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,1,Novembro,Domingo,4
Brasília,74,47,54,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,7,Dezembro,Quarta-feira,4
Americana,34,8,30,Dez-Fev,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Hotel Privê,3,40,4,Dezembro,Terça-feira,3
Brasília,576,43,340,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,3,Janeiro,Segunda-feira,3
Goiânia,20,8,11,Dez-Fev,Sozinho,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,5,Janeiro,Sábado,4
Goiânia,418,32,132,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,3,Fevereiro,Terça-feira,2
Goiânia,73,13,22,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,2,Fevereiro,Terça-feira,4
Uberlândia,30,10,32,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,2,Março,Quarta-feira,3
Goiânia,63,15,17,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,2,Março,Terça-feira,4
Rio de Janeiro,24,10,13,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,5,Abril,Quarta-feira,5
Barueri,54,18,16,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,5,Abril,Terça-feira,2
Uberaba,20,7,11,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,2,Maio,Sexta-Feira,4
Brasília,41,7,24,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,3,Maio,Segunda-feira,4
Ribeirão Preto,7,5,7,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,9,Junho,Terça-feira,4
Uberlândia,13,9,15,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,1,Junho,Segunda-feira,4
Brasília,10,5,4,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,1,Julho,Sexta-Feira,4
Cuiabá,9,6,19,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,7,Julho,Quarta-feira,3
Sete Lagoas,36,19,36,Jun-Ago,Sozinho,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,5,Agosto,Quinta-Feira,2
Brasília,33,12,19,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,5,Agosto,Sábado,3
Manaus,156,126,142,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,8,Setembro,Sexta-Feira,3
Ribeirão Preto,19,17,16,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,5,Setembro,Quarta-feira,4
Goiânia,23,17,11,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,1,Outubro,Sexta-Feira,3
Goiânia,13,3,3,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,1,Outubro,Domingo,2
Sorocaba,8,5,8,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,8,Novembro,Sexta-Feira,4
São Bernardo do Campo,1,0,2,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,0,Novembro,Quarta-feira,1
São José dos Campos,21,18,6,Dez-Fev,Negócios,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,0,Dezembro,Domingo,2
Anápolis,56,14,36,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,NÃO,Privê Boulevard Suíte Hotel,4,31,3,Dezembro,Segunda-feira,5
Nova Iguaçu,29,11,14,Dez-Fev,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,6,Janeiro,Domingo,3
Uberaba,11,5,8,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,1,Janeiro,Quinta-Feira,4
Uberlândia,19,12,167,Dez-Fev,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,9,Fevereiro,Segunda-feira,4
Goiânia,17,9,16,Dez-Fev,Sozinho,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,-1806,Fevereiro,Segunda-feira,5
Goiânia,43,8,20,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,1,Março,Sexta-Feira,4
Uberlândia,12,8,3,Mar-Mai,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,2,Março,Sábado,4
Goiânia,15,14,7,Mar-Mai,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,9,Abril,Terça-feira,4
Uberaba,16,13,16,Mar-Mai,Família,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,6,Abril,Quarta-feira,3
São Paulo,12,4,25,Mar-Mai,Família,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,1,Maio,Sexta-Feira,3
Curitiba,10,0,5,Mar-Mai,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,3,Maio,Domingo,4
Goiânia,27,17,16,Jun-Ago,Família,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,6,Junho,Quinta-Feira,3
Uberlândia,6,5,5,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,2,Junho,Terça-feira,4
Uberaba,21,20,14,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,3,Julho,Quarta-feira,5
Bela Vista,43,14,27,Jun-Ago,Sozinho,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,5,Julho,Quinta-Feira,4
Anápolis,97,31,37,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,8,Agosto,Sábado,4
Brasília,7,3,4,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,5,Agosto,Sexta-Feira,4
Brasília,11,9,6,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,0,Setembro,Sexta-Feira,3
Goiânia,78,11,30,Set-Nov,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,2,Setembro,Terça-feira,4
Uberaba,12,7,4,Set-Nov,Família,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,5,Outubro,Segunda-feira,5
Goiânia,27,11,5,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,2,Outubro,Segunda-feira,3
Belo Horizonte,4,3,1,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,7,Novembro,Sexta-Feira,5
Uberaba,27,9,8,Set-Nov,Família,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,2,Novembro,Sexta-Feira,4
Uberlândia,12,3,7,Dez-Fev,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,4,Dezembro,Sábado,4
Uberlândia,21,16,48,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,L'acqua diRoma,4,29,12,Dezembro,Quinta-Feira,5
Brasília,34,17,30,Dez-Fev,Família,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,8,Janeiro,Domingo,4
Goiânia,12,6,1,Dez-Fev,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,2,Janeiro,Domingo,5
Vila Velha ,79,39,51,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,5,Fevereiro,Quarta-feira,3
Belém,18,10,16,Dez-Fev,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,2,Fevereiro,Quinta-Feira,3
Uberlândia,13,3,8,Mar-Mai,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,3,Março,Quarta-feira,4
Brasília,14,4,9,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Março,Sexta-Feira,4
Ribeirão Preto,19,9,28,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,3,Abril,Sexta-Feira,5
São Paulo ,88,15,103,Mar-Mai,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,3,Abril,Segunda-feira,4
Cuiabá,8,4,0,Mar-Mai,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Maio,Terça-feira,4
Recife,39,15,31,Mar-Mai,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Maio,Domingo,3
Brasília,130,41,61,Jun-Ago,Negócios,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,3,Junho,Terça-feira,4
Uberaba,79,78,105,Jun-Ago,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,7,Junho,Quarta-feira,4
Brasília,13,10,16,Jun-Ago,Sozinho,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,10,Julho,Quarta-feira,4
Brasília,18,6,17,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Julho,Segunda-feira,4
Cuiabá,8,7,3,Jun-Ago,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Agosto,Sábado,5
Uberaba,15,4,6,Jun-Ago,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,0,Agosto,Sexta-Feira,5
Uberlândia,27,0,9,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,0,Setembro,Terça-feira,1
Uberaba,5,3,2,Set-Nov,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,5,Setembro,Quarta-feira,5
Brasília,22,6,6,Set-Nov,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Outubro,Terça-feira,5
Goiânia,5,3,11,Set-Nov,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Outubro,Quinta-Feira,2
São Paulo,31,8,11,Set-Nov,Sozinho,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,1,Novembro,Domingo,4
Palmas,33,8,8,Set-Nov,Amigos,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,7,Novembro,Sábado,5
Brasília,10,6,11,Dez-Fev,Casais,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,4,Dezembro,Sábado,5
Brasília,12,3,3,Dez-Fev,Família,SIM,SIM,SIM,SIM,SIM,SIM,Best Western Suites Le Jardin,4,15,4,Dezembro,Quinta-Feira,5
Goiânia,50,14,24,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,7,Janeiro,Quarta-feira,5
Goiânia,161,33,85,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,3,Janeiro,Sexta-Feira,4
São José do Rio Preto,153,38,81,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,10,Fevereiro,Terça-feira,5
Uberlândia,14,3,12,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,2,Fevereiro,Quinta-Feira,5
Goiânia,31,12,10,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,4,Março,Sexta-Feira,5
Goiânia,15,10,29,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,9,Março,Sexta-Feira,3
Uberlândia,5,5,4,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,3,Abril,Quinta-Feira,5
Goiânia,46,4,21,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,2,Abril,Sábado,4
Brasília,15,6,39,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,4,Maio,Domingo,1
Brasília,63,27,35,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,5,Maio,Quarta-feira,4
Goiânia,17,15,13,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,2,Junho,Domingo,4
Goiânia,25,22,36,Jun-Ago,Sozinho,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,9,Junho,Terça-feira,1
Goiânia,14,8,4,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,1,Julho,Segunda-feira,5
Brasília,59,56,37,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,6,Julho,Terça-feira,3
Brasília,11,10,17,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,3,Agosto,Sexta-Feira,5
Uberlândia,54,18,31,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,5,Agosto,Quarta-feira,4
Goiânia,4,3,4,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,3,Setembro,Segunda-feira,5
Goiânia,10,7,7,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,3,Setembro,Terça-feira,5
Goiânia,14,6,7,Set-Nov,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,11,Outubro,Domingo,5
Goiânia,39,12,16,Set-Nov,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,2,Outubro,Quinta-Feira,5
Uberaba,35,24,43,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,4,Novembro,Domingo,5
Uberaba,6,6,9,Set-Nov,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,0,Novembro,Domingo,3
Goiânia,23,7,2,Dez-Fev,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,3,Dezembro,Sexta-Feira,4
Goiânia,48,21,67,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Ecologic Ville Resort & Spa by Vivence,5,34,13,Dezembro,Domingo,4
Uberaba,16,9,14,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,3,Janeiro,Quinta-Feira,4
Uberaba,12,6,3,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,1,Janeiro,Quinta-Feira,5
Fortaleza,36,9,15,Dez-Fev,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,2,Fevereiro,Sábado,4
Brasília,127,40,80,Dez-Fev,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,8,Fevereiro,Quarta-feira,5
Goiânia,12,5,1,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,1,Março,Segunda-feira,5
Goiânia,17,17,74,Mar-Mai,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,10,Março,Sábado,5
Ribeirão Preto,23,7,21,Mar-Mai,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,7,Abril,Quinta-Feira,4
Goiânia,102,17,45,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,2,Abril,Segunda-feira,5
Curitiba,113,15,55,Mar-Mai,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,8,Maio,Quinta-Feira,5
Goiânia,30,8,10,Mar-Mai,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,1,Maio,Quarta-feira,2
Curitiba,24,24,24,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,7,Junho,Quarta-feira,2
Ribeirão Preto,15,5,18,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,3,Junho,Quarta-feira,5
Goiânia,6,4,14,Jun-Ago,Negócios,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,1,Julho,Quarta-feira,1
Uberaba,3,3,0,Jun-Ago,Amigos,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,7,Julho,Terça-feira,4
Uberlândia,41,10,56,Jun-Ago,Família,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,4,Agosto,Sábado,5
Goiânia,19,8,56,Jun-Ago,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,10,Agosto,Domingo,4
Brasília,18,9,10,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,1,Setembro,Quarta-feira,5
Maceió,6,6,7,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,7,Setembro,Terça-feira,5
Goiânia,103,5,98,Set-Nov,Casais,SIM,SIM,NÃO,SIM,SIM,SIM,Rio Quente Resorts - Hotel Pousada,5,30,7,Outubro,Segunda-feira,5
